calendario,sector,nombreestablecimiento,telefono,nombre_Rector,correo_Electronico,direccion,secretaria,zona,tipo_Establecimiento,etnias,genero,niveles,jornadas,caracter,especialidad,grados,modelos_Educativos,capacidades_Excepcionales,discapacidades,idiomas,numero_de_Sedes,estado,prestador_de_Servicio,propiedad_Planta_Fisica,resguardo,matricula_Contratada,internado,estrato_Socio_Economico,año
A,,COLEGIO FLORIDABLANCA (IED),4382536 / 2527760,MILA ALETH BARRERA SANTISTEBAN,escdifloridablanca10@redp.edu.co,CL 70 A 94 38,BOGOTA,URBANA,INSTITUCION EDUCATIVA,,MIXTO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,TARDE",ACADÉMICO,ACADÉMICA,"-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,,,3,ANTIGUO-ACTIVO,OFICIAL,OFICIAL,NO APLICA,NO,,,2016
A,,COLEGIO GRAN COLOMBIA (IED),3335055,JULIO ALFONSO ROMERO RUIZ,cedgrancolombia4@redp.edu.co,KR 19 A ESTE 9 A 26 SUR,BOGOTA,URBANA,CENTRO EDUCATIVO,,MIXTO,"PREESCOLAR,BÁSICA PRIMARIA","MAÑANA,TARDE",NO APLICA,,"-2,-1,0,1,2,3,4,5",EDUCACIÓN TRADICIONAL,,,,1,ANTIGUO-ACTIVO,OFICIAL,OFICIAL,NO APLICA,NO,,,2016
A,,COLEGIO VEINTE DE JULIO  (IED),2721598 -- 3660830,GERMAN AUGUSTO AVENDAÑO CHAVES,cedveintedejulio4@redp.edu.co / cedveintedejulio4@gmail.com,KR 7 A 24 01 SUR,BOGOTA,URBANA,INSTITUCION EDUCATIVA,,MIXTO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,ÚNICA,TARDE",ACADÉMICO,ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,,,1,ANTIGUO-ACTIVO,OFICIAL,OFICIAL,NO APLICA,NO,,,2016
A,,COLEGIO PANTALEON GAITAN PEREZ (CED),2466284,RUTH MARIELA SANABRIA TAUTIVA,cedpantaleongaita4@redp.edu.co,AK 11 ESTE 11 10 SUR,BOGOTA,URBANA,CENTRO EDUCATIVO,,MIXTO,"PREESCOLAR,BÁSICA PRIMARIA","MAÑANA,ÚNICA,TARDE",NO APLICA,,"-2,-1,0,1,2,3,4,5",EDUCACIÓN TRADICIONAL,,DI-COGNITIVO,,1,ANTIGUO-ACTIVO,OFICIAL,OFICIAL,NO APLICA,NO,,,2016
A,,COLEGIO RAFAEL URIBE URIBE (IED),7130308 -- 7242191 -- 7242135 -- 2309420,RODRIGO MONTAÑEZ MORA,coldirafaeluribeur6@redp.edu.co,KR 25 47 00 SUR,BOGOTA,URBANA,INSTITUCION EDUCATIVA,AFRODESCENDIENTE,MIXTO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,ÚNICA,TARDE",ACADÉMICO,ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,99","EDUCACIÓN TRADICIONAL,ACELERACIÓN DEL APRENDIZAJE",,,,2,ANTIGUO-ACTIVO,OFICIAL,OFICIAL,NO APLICA,NO,,,2016
A,,COLEGIO SAN JOSE SUR ORIENTAL (IED),3644229 -- 3644230 -- 3644231,JULIO ROBERTO CASTRO LEON,escdisanjosesurori4@redp.edu.co,CL 42 SUR 12 A 66 ESTE,BOGOTA,URBANA,INSTITUCION EDUCATIVA,,MIXTO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,TARDE",ACADÉMICO,ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,,,1,ANTIGUO-ACTIVO,OFICIAL,OFICIAL,NO APLICA,NO,,,2016
A,,COLEGIO JUANA ESCOBAR (IED),3652789,ROCIO ELIANA PAEZ GARZON,cedbasyjuanaescob4@redp.edu.co,KR 15 ESTE 58 04 SUR,BOGOTA,URBANA,INSTITUCION EDUCATIVA,,MIXTO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,TARDE",ACADÉMICO,ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,"SV-BAJA VISIÓN,DI-COGNITIVO,HIPOACUSIA O BAJA AUDICIÓN",,3,ANTIGUO-ACTIVO,OFICIAL,OFICIAL,NO APLICA,NO,,,2016
A,,COLEGIO TOM ADAMS (IED),2997139 -- 2730340 -- 4537387,EDILBERTO MUÑETONES CIFUENTES,cedtomadams8@redp.edu.co,CL 40 J SUR 78 08,BOGOTA,URBANA,INSTITUCION EDUCATIVA,,MIXTO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,ÚNICA,TARDE",ACADÉMICO,ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,99","EDUCACIÓN TRADICIONAL,ACELERACIÓN DEL APRENDIZAJE",,,,2,ANTIGUO-ACTIVO,OFICIAL,OFICIAL,NO APLICA,NO,,,2016
A,,COLEGIO EL JAPON (IED),2732515 -- 2939648 -- 2939499 -- 4036380 -- 451808,HECTOR ALVARO SILVA TOLOZA,cedeljapon8@redp.edu.co,KR 78 G 38 C 11 SUR,BOGOTA,URBANA,INSTITUCION EDUCATIVA,,MIXTO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,NOCTURNA,TARDE",ACADÉMICO,ACADÉMICA,"-1,0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26,99","PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,EDUCACIÓN TRADICIONAL,ACELERACIÓN DEL APRENDIZAJE",,,,1,ANTIGUO-ACTIVO,OFICIAL,OFICIAL,NO APLICA,NO,,,2016
A,,COLEGIO REPUBLICA FEDERAL DE ALEMANIA (IED),2799616 / 7142428 /,EDWIN ARTURO JAIMES CHAVARRIA,cedrepfederaldeal18@redp.edu.co,KR 24 44 05 SUR,BOGOTA,URBANA,INSTITUCION EDUCATIVA,,MIXTO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,COMPLETA,ÚNICA,TARDE",ACADÉMICO,ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,,,1,ANTIGUO-ACTIVO,OFICIAL,OFICIAL,NO APLICA,NO,,,2016
A,,COLEGIO BRASILIA - BOSA (IED),7831779,NANCY FERNANDEZ RINCON,cedbrasiliabosa7@gmail.com.co,CL 52 A SUR 87 D 45,BOGOTA,URBANA,INSTITUCION EDUCATIVA,,MIXTO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,TARDE",ACADÉMICO,ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11","PREESCOLAR ESCOLARIZADO_,EDUCACIÓN TRADICIONAL",,,,3,ANTIGUO-ACTIVO,OFICIAL,OFICIAL,NO APLICA,NO,,,2016
A,,COLEGIO ALTAMIRA SURORIENTAL (IED),2068596 -- 3672172,CLARA DENIS CABRERA AHUMADA,escdialtamirasuror4@redp.edu.co -- altamirasuroriental@gmail.com,CL 42 A SUR 12 A 27 ESTE,BOGOTA,URBANA,INSTITUCION EDUCATIVA,,MIXTO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,TARDE",ACADÉMICO,ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,99",EDUCACIÓN TRADICIONAL,,,,3,ANTIGUO-ACTIVO,OFICIAL,OFICIAL,NO APLICA,NO,,,2016
A,,COLEGIO SAN CRISTOBAL SUR (IED),2464811 -- 2460043 -- 3337037,SAUL HERNAN RAMIREZ CAICEDO,cedsancristobalsu4@redp.edu.co,KR 7 ESTE 14 76 SUR,BOGOTA,URBANA,INSTITUCION EDUCATIVA,,MIXTO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,NOCTURNA,TARDE",ACADÉMICO,ACADÉMICA,"0,1,2,3,4,5,6,7,8,9,10,11,22,23,24,25,26","PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,EDUCACIÓN TRADICIONAL",,,,3,ANTIGUO-ACTIVO,OFICIAL,OFICIAL,NO APLICA,NO,,,2016
A,,COLEGIO MARCO FIDEL SUAREZ (IED),2388713  --  2304300  --  7410022,MIGUEL ANGEL GOMEZ PAEZ,coldimarcofidelsua6@redp.edu.co,DG 52 SUR 25 00,BOGOTA,URBANA,INSTITUCION EDUCATIVA,,MIXTO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,TARDE",ACADÉMICO,ACADÉMICA,"-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,,,1,ANTIGUO-ACTIVO,OFICIAL,OFICIAL,NO APLICA,NO,,,2016
A,,COLEGIO CIUDAD DE BOGOTA (IED),2307620 -- 2707792,AMANDA UBATE RUSINQUE,cedciudadbogota6@gmail.com,KR 25 53 B 32 SUR,BOGOTA,URBANA,INSTITUCION EDUCATIVA,,MIXTO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,TARDE",ACADÉMICO,ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,"DI-COGNITIVO,LIMITACIÓN FISICA (MOVILIDAD),HIPOACUSIA O BAJA AUDICIÓN",,2,ANTIGUO-ACTIVO,OFICIAL,OFICIAL,NO APLICA,NO,,,2016
A,,COLEGIO MARSELLA (IED),4202341 -- 4202399,SOCORRO LOPEZ IZQUIERDO,cedmarsella8@gmail.com--cedmarsella8@redp.edu.co,KR 69 7 90,BOGOTA,URBANA,INSTITUCION EDUCATIVA,,MIXTO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,TARDE",ACADÉMICO,ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,,,1,ANTIGUO-ACTIVO,OFICIAL,OFICIAL,NO APLICA,NO,,,2016
A,,COLEGIO MANUELA AYALA DE GAITAN (IED),2248468 -- 2763648 -- 4385222,ARGEMIRO PINZON ARIAS,coldimanuelaayalad10@redp.edu.co,CL 71 75 11,BOGOTA,URBANA,INSTITUCION EDUCATIVA,,MIXTO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,TARDE",ACADÉMICO,ACADÉMICA,"0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,,,2,ANTIGUO-ACTIVO,OFICIAL,OFICIAL,NO APLICA,NO,,,2016
A,,COLEGIO GRAN COLOMBIANO (IED),7196611,NYDIA MARGOTH CAICEDO CUENCA,coldigrancolombian7@redp.edu.co,CL 73 F SUR 80 BIS 49,BOGOTA,URBANA,INSTITUCION EDUCATIVA,,MIXTO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,TARDE",TÉCNICO,OTRO,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,,,4,ANTIGUO-ACTIVO,OFICIAL,OFICIAL,NO APLICA,NO,,,2016
A,,COLEGIO NUEVO SAN ANDRES DE LOS ALTOS (IED),7688210,LUIS ALFREDO RODRIGUEZ RODRIGUEZ,nuevosnandre5@gmail.com,CL 69 SUR 2 B 15,BOGOTA,URBANA,INSTITUCION EDUCATIVA,,MIXTO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,ÚNICA,TARDE",ACADÉMICO,ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,DI-COGNITIVO,,1,ANTIGUO-ACTIVO,OFICIAL,OFICIAL,NO APLICA,NO,,,2016
A,,COLEGIO JOSE ANTONIO GALAN (IED),7752586,MARLENY AMANDA SARMIENTO MANCIPE,iedjoseantoniogalan7@gmail.com,KR 78 J 58 M 22 SUR,BOGOTA,URBANA,INSTITUCION EDUCATIVA,,MIXTO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,TARDE",ACADÉMICO,ACADÉMICA,"-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,,,1,ANTIGUO-ACTIVO,OFICIAL,OFICIAL,NO APLICA,NO,,,2016
A,,COLEGIO NUEVA DELHI (IED),3652024 -- 3652313 -- 3652314,AMELIA GOMEZ OROZCO,cednvadelhi4@redp.edu.co,CL 62 A SUR 14 I 33 ESTE,BOGOTA,URBANA,INSTITUCION EDUCATIVA,,MIXTO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,TARDE",ACADÉMICO,ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,99","EDUCACIÓN TRADICIONAL,ACELERACIÓN DEL APRENDIZAJE",,LIMITACIÓN FISICA (MOVILIDAD),,1,ANTIGUO-ACTIVO,OFICIAL,OFICIAL,NO APLICA,NO,,,2016
A,,COLEGIO ATABANZHA (IED),7641219 -- 7646512 -- 7641220,CONSTANZA IVET BOLIVAR SILVA,colatabanzha@redp.edu.co -- cedvalledecafam5@redp.edu.co,CL 92 SUR 2 43,BOGOTA,URBANA,INSTITUCION EDUCATIVA,,MIXTO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,TARDE",ACADÉMICO,ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,,,1,ANTIGUO-ACTIVO,OFICIAL,OFICIAL,NO APLICA,NO,,,2016
A,,COLEGIO TOBERIN (IED),6696782 -- 6790327 -- 6790780,ALFONSO GUERRERO GUERRERO,cedtoberin1@redp.edu.co,CL 166 16 C 15,BOGOTA,URBANA,INSTITUCION EDUCATIVA,,MIXTO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,COMPLETA,TARDE",ACADÉMICO,ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,99","EDUCACIÓN TRADICIONAL,ACELERACIÓN DEL APRENDIZAJE",,OTRA DISCAPACIDAD,,3,ANTIGUO-ACTIVO,OFICIAL,OFICIAL,NO APLICA,NO,,,2016
A,,COLEGIO LA ARABIA (IED),5691883,ANDRES ALONSO HORTUA CLAVIJO,escdiarabia19@redp.edu.co,KR 18 H 81 D 69 SUR IN 1,BOGOTA,URBANA,INSTITUCION EDUCATIVA,,MIXTO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,TARDE",NO APLICA,,"-2,-1,0,1,2,3,4,5,6,7,8,9,11,99","PREESCOLAR ESCOLARIZADO_,EDUCACIÓN TRADICIONAL,ACELERACIÓN DEL APRENDIZAJE",,,,1,ANTIGUO-ACTIVO,OFICIAL,OFICIAL,NO APLICA,NO,,,2016
A,,COLEGIO ARBORIZADORA ALTA (IED),7153622 / 7168062,MARTHA YANETH ALDANA SALAMANCA,cedarborizadoraal19@redp.edu.co,KR 43 70 A 50 SUR,BOGOTA,URBANA,INSTITUCION EDUCATIVA,,MIXTO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,TARDE",ACADÉMICO,ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,99","PREESCOLAR ESCOLARIZADO_,EDUCACIÓN TRADICIONAL,ACELERACIÓN DEL APRENDIZAJE",,,,2,ANTIGUO-ACTIVO,OFICIAL,OFICIAL,NO APLICA,NO,,,2016
A,,COLEGIO INSTITUTO TECNICO  JUAN DEL CORRAL (IED),2409608 / 2503781 /,LUIS ALFONSO RIVERA DUARTE,intdijuandelcorral10@redp.edu.co,KR 63 79 87,BOGOTA,URBANA,INSTITUCION EDUCATIVA,,MIXTO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,ÚNICA,TARDE",TÉCNICO / ACADÉMICO,"COMERCIAL,ACADÉMICA","0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,,,2,ANTIGUO-ACTIVO,OFICIAL,OFICIAL,NO APLICA,NO,,,2016
A,,COLEGIO CENTRO INTEGRAL  JOSE MARIA CORDOBA (IED),7692587 -- 7698420 -- 7690294,GERMAN EDUARDO RINCON RINCON,coldijosemariacord6@redp.edu.co,DG 48 B SUR 24 B 73,BOGOTA,URBANA,INSTITUCION EDUCATIVA,,MIXTO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,NOCTURNA,TARDE,FIN DE SEMANA",ACADÉMICO,ACADÉMICA,"0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26,99","PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,EDUCACIÓN TRADICIONAL,ACELERACIÓN DEL APRENDIZAJE",,"SV-BAJA VISIÓN,DI-COGNITIVO,OTRA DISCAPACIDAD",,2,ANTIGUO-ACTIVO,OFICIAL,OFICIAL,NO APLICA,NO,,,2016
A,,COLEGIO CIUDADELA EDUCATIVA DE BOSA (IED),7845372,SONIA JASMINE LOPEZ DURAN,cedelporvenir7@redp.edu.co,CL 52 SUR 97 35,BOGOTA,URBANA,INSTITUCION EDUCATIVA,,MIXTO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,TARDE",ACADÉMICO,ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,99","EDUCACIÓN TRADICIONAL,ACELERACIÓN DEL APRENDIZAJE",,,,1,ANTIGUO-ACTIVO,OFICIAL,OFICIAL,NO APLICA,NO,,,2016
A,,COLEGIO JOSE MARIA VARGAS VILA (IED),7619514-7650529,JAVIER RAUL MARTINEZ MARTINEZ,escdiparaisomirado19@redp.edu.co,DG 74 B BIS SUR 26 C 12,BOGOTA,URBANA,INSTITUCION EDUCATIVA,,MIXTO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,TARDE",ACADÉMICO,ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,99","PREESCOLAR ESCOLARIZADO_,EDUCACIÓN TRADICIONAL,ACELERACIÓN DEL APRENDIZAJE",,,,1,ANTIGUO-ACTIVO,OFICIAL,OFICIAL,NO APLICA,NO,,,2016
A,,COL ANTONIO GARCIA (IED),7663708/09 -- 7663710/11 -- 7663712,GERMAN EDINSON VIRACACHA PAVA,iedantoniogarcia@redp.edu.co -- jmperez@redp.edu.co,KR 17 F 73 A 31 SUR,BOGOTA,URBANA,INSTITUCION EDUCATIVA,,MIXTO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,ÚNICA,TARDE",ACADÉMICO,ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,99","EDUCACIÓN TRADICIONAL,ACELERACIÓN DEL APRENDIZAJE",,DI-COGNITIVO,,1,ANTIGUO-ACTIVO,OFICIAL,OFICIAL,NO APLICA,NO,,,2016
